epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,320.561,0.42603,0.39389,0.92623,0.7671,0.69741,0.78274,0.67842,0.56196,0.82101,0.99026,0.0006536,0.0006536,0.0006536
70,324.801,0.41988,0.39544,0.92065,0.82727,0.65696,0.77979,0.67826,0.56245,0.87055,0.99525,0.0006338,0.0006338,0.0006338
71,329.018,0.42559,0.40989,0.92545,0.80689,0.69741,0.78685,0.68601,0.56074,0.84136,0.985,0.000614,0.000614,0.000614
72,333.257,0.40849,0.39626,0.91949,0.80357,0.67799,0.78829,0.69155,0.54502,0.81098,0.98254,0.0005942,0.0005942,0.0005942
73,337.69,0.40225,0.39148,0.91461,0.75397,0.70874,0.777,0.67775,0.55172,0.86118,0.98562,0.0005744,0.0005744,0.0005744
74,342.028,0.41646,0.40034,0.92424,0.74138,0.71036,0.77832,0.68473,0.55427,0.88731,0.99226,0.0005546,0.0005546,0.0005546
75,346.21,0.41477,0.38654,0.92531,0.78462,0.65432,0.75975,0.66565,0.55108,0.93326,0.989,0.0005348,0.0005348,0.0005348
76,350.399,0.40366,0.38022,0.92433,0.76357,0.69502,0.77598,0.68757,0.53437,0.89922,0.98274,0.000515,0.000515,0.000515
77,354.563,0.40149,0.37848,0.91904,0.77933,0.69094,0.7668,0.67957,0.53638,0.93594,0.98144,0.0004952,0.0004952,0.0004952
78,358.734,0.39024,0.36675,0.90485,0.76392,0.68069,0.76923,0.6731,0.56355,0.94028,1.00014,0.0004754,0.0004754,0.0004754
79,362.936,0.39289,0.3599,0.90645,0.78987,0.66343,0.76169,0.66257,0.56688,0.9932,0.99917,0.0004556,0.0004556,0.0004556
80,367.149,0.40089,0.36964,0.90744,0.79101,0.66828,0.76111,0.66403,0.56012,0.92522,0.99827,0.0004358,0.0004358,0.0004358
81,371.465,0.38455,0.35118,0.90593,0.80532,0.68447,0.78061,0.68446,0.56329,0.87252,0.99946,0.000416,0.000416,0.000416
82,375.686,0.39577,0.36454,0.90421,0.77671,0.6923,0.76337,0.67254,0.56412,0.96002,1.00643,0.0003962,0.0003962,0.0003962
83,379.928,0.38153,0.35113,0.91068,0.75757,0.69256,0.76966,0.67635,0.5549,0.94698,1.00464,0.0003764,0.0003764,0.0003764
84,384.13,0.39041,0.35398,0.91003,0.80966,0.66078,0.76918,0.68053,0.55195,0.96449,0.98974,0.0003566,0.0003566,0.0003566
85,388.315,0.37697,0.33917,0.90275,0.7788,0.68363,0.76959,0.67137,0.56192,0.95541,1.00727,0.0003368,0.0003368,0.0003368
86,392.519,0.37327,0.34928,0.89739,0.77104,0.71036,0.77897,0.68551,0.53937,0.93413,0.98573,0.000317,0.000317,0.000317
87,396.717,0.38591,0.34727,0.91911,0.80751,0.65844,0.74212,0.64873,0.55373,1.02622,0.99701,0.0002972,0.0002972,0.0002972
88,401.12,0.37277,0.34575,0.90527,0.8,0.69417,0.76837,0.66823,0.55107,0.90944,1.00387,0.0002774,0.0002774,0.0002774
89,405.37,0.37263,0.33521,0.90734,0.78022,0.71036,0.77203,0.68256,0.5435,0.91241,1.00088,0.0002576,0.0002576,0.0002576
90,409.607,0.35897,0.32738,0.89798,0.78717,0.68285,0.76692,0.67565,0.5554,0.96305,1.00951,0.0002378,0.0002378,0.0002378
91,415.245,0.3556,0.35698,0.87462,0.77542,0.65928,0.7442,0.6533,0.57627,1.02027,1.01773,0.000218,0.000218,0.000218
92,419.398,0.33914,0.29254,0.85841,0.75973,0.7055,0.76326,0.6696,0.56084,0.93095,1.01022,0.0001982,0.0001982,0.0001982
93,423.511,0.32136,0.27495,0.8554,0.7481,0.74484,0.77766,0.68381,0.54707,0.88225,0.99981,0.0001784,0.0001784,0.0001784
94,427.671,0.32084,0.2819,0.86191,0.72572,0.74757,0.77957,0.68563,0.54369,0.90906,0.99872,0.0001586,0.0001586,0.0001586
95,431.982,0.32161,0.26353,0.86213,0.75095,0.73139,0.78016,0.68256,0.5489,0.91589,0.99222,0.0001388,0.0001388,0.0001388
96,436.192,0.30689,0.25734,0.85205,0.7782,0.69094,0.77594,0.68584,0.54708,0.92082,0.99364,0.000119,0.000119,0.000119
97,440.409,0.31001,0.26349,0.85915,0.7891,0.67152,0.77113,0.68012,0.5528,0.94838,1.00363,9.92e-05,9.92e-05,9.92e-05
98,444.563,0.30272,0.24544,0.84751,0.79851,0.6699,0.77191,0.68477,0.55128,0.95267,1.00443,7.94e-05,7.94e-05,7.94e-05
99,448.756,0.30809,0.24755,0.84724,0.80261,0.67638,0.76798,0.68242,0.54945,0.9505,1.00105,5.96e-05,5.96e-05,5.96e-05
100,452.944,0.30075,0.24486,0.85347,0.79964,0.67961,0.76898,0.68309,0.54836,0.95517,1.001,3.98e-05,3.98e-05,3.98e-05
